Date,open,high,low,close,Volume,Volume MA,RSI,
01/08/2013,66.6,66.6,66.6,66.6,NaN,NaN,54.39150953,01/01/1970
01/09/2013,65.7,65.7,65.7,65.7,NaN,NaN,50.19255512,01/01/1970
01/10/2013,66.2,66.2,66.2,66.2,NaN,NaN,52.39146312,01/01/1970
01/11/2013,65.6,65.6,65.6,65.6,NaN,NaN,49.56370357,01/01/1970
01/12/2013,65.2,65.2,65.2,65.2,NaN,NaN,47.71474171,01/01/1970
01/01/2014,64.3,64.3,64.3,64.3,NaN,NaN,43.75924337,01/01/1970
01/02/2014,64.7,64.7,64.7,64.7,NaN,NaN,45.90560579,01/01/1970
01/03/2014,65.4,65.4,65.4,65.4,NaN,NaN,49.5352399,01/01/1970
01/04/2014,65.3,65.3,65.3,65.3,NaN,NaN,49.02912241,01/01/1970
01/05/2014,65.9,65.9,65.9,65.9,NaN,NaN,52.1857978,01/01/1970
01/06/2014,67.6,67.6,67.6,67.6,NaN,NaN,59.78515072,01/01/1970
01/07/2014,69.1,69.1,69.1,69.1,NaN,NaN,65.06168408,01/01/1970
01/08/2014,67.4,67.4,67.4,67.4,NaN,NaN,56.08080538,01/01/1970
01/09/2014,66.6,66.6,66.6,66.6,NaN,NaN,52.41416789,01/01/1970
01/10/2014,66.1,66.1,66.1,66.1,NaN,NaN,50.20482126,01/01/1970
01/11/2014,66.2,66.2,66.2,66.2,NaN,NaN,50.65283573,01/01/1970
01/12/2014,65.9,65.9,65.9,65.9,NaN,NaN,49.2220635,01/01/1970
01/01/2015,65.2,65.2,65.2,65.2,NaN,NaN,45.95988907,01/01/1970
01/02/2015,65.4,65.4,65.4,65.4,NaN,NaN,47.03986259,01/01/1970
01/03/2015,65.8,65.8,65.8,65.8,NaN,NaN,49.22539912,01/01/1970
01/04/2015,65.7,65.7,65.7,65.7,NaN,NaN,48.68449003,01/01/1970
01/05/2015,66.6,66.6,66.6,66.6,NaN,NaN,53.62370862,01/01/1970
01/06/2015,67.6,67.6,67.6,67.6,NaN,NaN,58.41337682,01/01/1970
01/07/2015,68.9,68.9,68.9,68.9,NaN,NaN,63.66678638,01/01/1970
01/08/2015,68.3,68.3,68.3,68.3,NaN,NaN,59.90541459,01/01/1970
01/09/2015,66.5,66.5,66.5,66.5,NaN,NaN,50.30387805,01/01/1970
01/10/2015,66.7,66.7,66.7,66.7,NaN,NaN,51.23904476,01/01/1970
01/11/2015,66.9,66.9,66.9,66.9,NaN,NaN,52.20756868,01/01/1970
01/12/2015,66.2,66.2,66.2,66.2,NaN,NaN,48.57118601,01/01/1970
01/01/2016,65.7,65.7,65.7,65.7,NaN,NaN,46.10114334,01/01/1970
01/02/2016,65.9,65.9,65.9,65.9,NaN,NaN,47.25656065,01/01/1970
01/03/2016,66.2,66.2,66.2,66.2,NaN,NaN,49.02186346,01/01/1970
01/04/2016,66.7,66.7,66.7,66.7,NaN,NaN,51.91076079,01/01/1970
01/05/2016,66.9,66.9,66.9,66.9,NaN,NaN,53.05671252,01/01/1970
01/06/2016,68.6,68.6,68.6,68.6,NaN,NaN,61.46293156,01/01/1970
01/07/2016,69.1,69.1,69.1,69.1,NaN,NaN,63.53141425,01/01/1970
01/08/2016,67.7,67.7,67.7,67.7,NaN,NaN,54.68119679,01/01/1970
01/09/2016,67,67,67,67,NaN,NaN,50.86574871,01/01/1970
01/10/2016,67.1,67.1,67.1,67.1,NaN,NaN,51.38759344,01/01/1970
01/11/2016,67.3,67.3,67.3,67.3,NaN,NaN,52.47475969,01/01/1970
01/12/2016,66.4,66.4,66.4,66.4,NaN,NaN,47.34368759,01/01/1970
01/01/2017,66.2,66.2,66.2,66.2,NaN,NaN,46.26114204,01/01/1970
01/02/2017,66.7,66.7,66.7,66.7,NaN,NaN,49.37753407,01/01/1970
01/03/2017,67.2,67.2,67.2,67.2,NaN,NaN,52.35318647,01/01/1970
01/04/2017,67.2,67.2,67.2,67.2,NaN,NaN,52.35318647,01/01/1970
01/05/2017,67.4,67.4,67.4,67.4,NaN,NaN,53.61797513,01/01/1970
01/06/2017,69.3,69.3,69.3,69.3,NaN,NaN,63.52400328,01/01/1970
01/07/2017,69.8,69.8,69.8,69.8,NaN,NaN,65.60579021,01/01/1970
01/08/2017,69,69,69,69,NaN,NaN,59.73172416,01/01/1970
01/09/2017,68.1,68.1,68.1,68.1,NaN,NaN,53.88634621,01/01/1970
01/10/2017,67.9,67.9,67.9,67.9,NaN,NaN,52.65322798,01/01/1970
01/11/2017,67.8,67.8,67.8,67.8,NaN,NaN,52.01233281,01/01/1970
01/12/2017,67.3,67.3,67.3,67.3,NaN,NaN,48.81305,01/01/1970
01/01/2018,66.8,66.8,66.8,66.8,NaN,NaN,45.78047679,01/01/1970
01/02/2018,67.7,67.7,67.7,67.7,NaN,NaN,51.60826465,01/01/1970
01/03/2018,67.7,67.7,67.7,67.7,NaN,NaN,51.60826465,01/01/1970
01/04/2018,67.7,67.7,67.7,67.7,NaN,NaN,51.60826465,01/01/1970
01/05/2018,68.5,68.5,68.5,68.5,NaN,NaN,56.7672302,01/01/1970
01/06/2018,69.7,69.7,69.7,69.7,NaN,NaN,63.11869198,01/01/1970
01/07/2018,70.7,70.7,70.7,70.7,NaN,NaN,67.41488097,01/01/1970
01/08/2018,68.9,68.9,68.9,68.9,NaN,NaN,54.99639914,01/01/1970
01/09/2018,68.1,68.1,68.1,68.1,NaN,NaN,50.54032008,01/01/1970
01/10/2018,68.1,68.1,68.1,68.1,NaN,NaN,50.54032008,01/01/1970
01/11/2018,68.1,68.1,68.1,68.1,NaN,NaN,50.54032008,01/01/1970
01/12/2018,67.9,67.9,67.9,67.9,NaN,NaN,49.293224,01/01/1970
01/01/2019,67,67,67,67,NaN,NaN,44.02831153,01/01/1970
01/02/2019,67.1,67.1,67.1,67.1,NaN,NaN,44.73462779,01/01/1970
01/03/2019,68,68,68,68,NaN,NaN,50.75743122,01/01/1970
01/04/2019,68.1,68.1,68.1,68.1,NaN,NaN,51.39130347,01/01/1970
01/05/2019,67.4,67.4,67.4,67.4,NaN,NaN,46.8454906,01/01/1970
01/06/2019,69.9,69.9,69.9,69.9,NaN,NaN,60.33870598,01/01/1970
01/07/2019,70.2,70.2,70.2,70.2,NaN,NaN,61.59847167,01/01/1970
01/08/2019,68.8,68.8,68.8,68.8,NaN,NaN,53.11907646,01/01/1970
01/09/2019,68.7,68.7,68.7,68.7,NaN,NaN,52.56249649,01/01/1970
