Date,close,,,,
01/07/2019,70.2,,,,
01/08/2019,68.8,,,,
01/09/2019,68.7,,,,
01/10/2019,68.3,,,,
01/11/2019,68.3,,,,
01/12/2019,68,,,,
01/01/2020,66.9,,,,
01/02/2020,67.4,,,,
01/03/2020,67.1,,,,
01/04/2020,66.4,,,,
01/05/2020,66.7,,,,
01/06/2020,67.7,,,,
01/07/2020,68.3,,,,
01/08/2020,67.9,,,,
01/09/2020,66.8,,,,
01/10/2020,67.1,,,,
01/11/2020,67.1,,,,
01/12/2020,67,,,,
01/01/2021,64.7,,,,
01/02/2021,65.9,,,,
01/03/2021,65.8,,,,
01/04/2021,66.8,,,,
01/05/2021,67.2,,,,
01/06/2021,68.5,,,,
01/07/2021,70.1,,,,
01/08/2021,68.2,,,,
01/09/2021,67.8,,,,
01/10/2021,67.5,,,,
01/11/2021,67.9,,,,
01/12/2021,67.6,,,,
01/01/2022,67,,,,
01/02/2022,67.9,,,,
01/03/2022,67.7,,,,
01/04/2022,68.5,,,,
01/05/2022,68.7,,,,
01/06/2022,70.7,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
